video_id,video_title,published_at,view_count,like_count,comment_count,duration_seconds,published_year,published_month,published_day,published_weekday,is_weekend,like_ratio,comment_ratio,title_length,days_since_published,channel_age_years
TsnGd6p9oTk,installing r and r studio r for data analytics series,2025-06-17 12:00:48,2787,114,9,359.0,2025,6,17,Tuesday,0,0.04090419806243272,0.0032292787944025836,53,6,5
DsI1vG-kXR8,best resources to learn data analytics in 2025,2025-06-10 12:00:19,16190,758,33,407.0,2025,6,10,Tuesday,0,0.04681902408894379,0.002038295243977764,46,13,5
4lhPHhPkVLM,best resources to learn data visualization in 2025,2025-06-03 12:00:19,10229,306,28,268.0,2025,6,3,Tuesday,0,0.029914947697722162,0.002737315475608564,50,20,5
dkU5n0G7FRQ,best resources to learn excel in 2025,2025-05-27 12:01:27,11340,569,15,289.0,2025,5,27,Tuesday,0,0.05017636684303351,0.0013227513227513227,37,27,5
kagUDLvrcZ8,best resources to learn python in 2025,2025-05-20 12:01:32,18442,707,54,309.0,2025,5,20,Tuesday,0,0.03833640602971478,0.0029280989046741135,38,34,5
P5uJYPjUtlc,best resources to learn sql in 2025,2025-05-13 12:00:49,22206,824,35,371.0,2025,5,13,Tuesday,0,0.03710708817436729,0.0015761505899306494,35,41,5
dStNNjOKML4,how to practice for general technical interviews analyst builder,2025-05-06 12:01:11,4387,168,18,621.0,2025,5,6,Tuesday,0,0.038294962388876225,0.004103031684522453,64,48,5
OQM9x6E3ojo,how to lie with data biased data collection,2025-04-29 12:00:46,3128,100,11,262.0,2025,4,29,Tuesday,0,0.0319693094629156,0.003516624040920716,43,55,5
z39SB95JbDo,how to lie with data correlations,2025-04-22 12:01:50,3280,126,15,213.0,2025,4,22,Tuesday,0,0.03841463414634146,0.004573170731707317,33,62,5
W5CQb7klLCs,how to lie with data cherry picking data,2025-04-15 12:00:53,3673,153,8,252.0,2025,4,15,Tuesday,0,0.04165532262455758,0.0021780560849441874,40,69,5
xb5-UX-jYw0,how to lie with data averages,2025-04-08 12:01:32,4176,216,14,407.0,2025,4,8,Tuesday,0,0.05172413793103448,0.003352490421455939,29,76,5
V3ouFOBQP0k,how to lie with data percentages and baseline numbers,2025-04-01 12:00:46,4379,216,9,318.0,2025,4,1,Tuesday,0,0.049326330212377256,0.0020552637588490525,53,83,5
oi9W142ELN0,1 million youtube play button unboxing!,2025-03-25 12:01:10,3085,236,79,460.0,2025,3,25,Tuesday,0,0.07649918962722853,0.02560777957860616,39,90,5
5n52mlp9Ym0,maven analytics analyst builder lifetime access ends march 31st,2025-03-24 12:00:07,8650,255,41,315.0,2025,3,24,Monday,0,0.029479768786127167,0.004739884393063584,63,91,5
