video_id,video_title,published_at,view_count,like_count,comment_count,duration_seconds
TsnGd6p9oTk,Installing R and R Studio | R for Data Analytics Series,2025-06-17T12:00:48Z,2787,114,9,359.0
DsI1vG-kXR8,Best Resources to Learn Data Analytics in 2025,2025-06-10T12:00:19Z,16190,758,33,407.0
4lhPHhPkVLM,Best Resources to Learn Data Visualization in 2025,2025-06-03T12:00:19Z,10229,306,28,268.0
dkU5n0G7FRQ,Best Resources to Learn Excel in 2025,2025-05-27T12:01:27Z,11340,569,15,289.0
kagUDLvrcZ8,Best Resources to Learn Python in 2025,2025-05-20T12:01:32Z,18442,707,54,309.0
P5uJYPjUtlc,Best Resources to Learn SQL in 2025,2025-05-13T12:00:49Z,22206,824,35,371.0
dStNNjOKML4,How to Practice for General Technical Interviews | Analyst Builder,2025-05-06T12:01:11Z,4387,168,18,621.0
OQM9x6E3ojo,How to Lie with Data | Biased Data Collection,2025-04-29T12:00:46Z,3128,100,11,262.0
z39SB95JbDo,How to Lie with Data | Correlations,2025-04-22T12:01:50Z,3280,126,15,213.0
W5CQb7klLCs,How to Lie with Data | Cherry Picking Data,2025-04-15T12:00:53Z,3673,153,8,252.0
xb5-UX-jYw0,How to Lie with Data | Averages,2025-04-08T12:01:32Z,4176,216,14,407.0
V3ouFOBQP0k,How to Lie with Data | Percentages and Baseline Numbers,2025-04-01T12:00:46Z,4379,216,9,318.0
oi9W142ELN0,1 Million YouTube Play Button Unboxing!,2025-03-25T12:01:10Z,3085,236,79,460.0
5n52mlp9Ym0,Maven Analytics + Analyst Builder Lifetime Access (Ends March 31st),2025-03-24T12:00:07Z,8650,255,41,315.0
hgp91KvbJV4,How to Lie with Data | Misleading Graphs,2025-03-18T12:01:07Z,5288,281,22,326.0
1ql4kNv0_qY,Where to find the Best Healthcare Data,2025-03-11T12:00:02Z,7490,398,24,471.0
r5512UY3MTc,1 Million Subscriber Livestream!! Giveaways + Chat,2025-03-05T17:07:10Z,10277,675,68,6014.0
XuOcmjIbFGg,"Taking a look at Real Healthcare Data | ICD11, CPT, HCPCS, Claims",2025-03-04T13:00:44Z,8669,406,28,916.0
Ka2mDrKEAhg,How to Become a Healthcare Analyst in 2025,2025-02-25T13:00:21Z,27046,1343,108,1072.0
k8nBWL6K884,What is Healthcare Analytics?,2025-02-18T13:01:11Z,26802,1313,79,656.0
WpX2F2BS3Qc,What is Data Cleaning? | Data Fundamentals for Beginners,2025-02-11T13:00:47Z,22087,770,26,424.0
cd_jj0IRmaA,What is Data Collection? | Data Fundamentals for Beginners,2025-02-04T13:00:52Z,12895,511,14,283.0
OcG0B4ny1cE,What are File Types? | Data Fundamentals for Beginners,2025-01-28T13:00:34Z,9130,342,9,387.0
hXpt8zj_ajc,What are Data Types? | Data Fundamentals for Beginners,2025-01-21T13:00:55Z,10024,407,19,294.0
ItZlTixh6Bs,What are KPIs and Metrics? | Data Fundamental for Beginners,2025-01-14T13:00:34Z,17435,876,31,346.0
PEWMgtu-1e4,What is Data? | Data Fundamentals for Beginners,2025-01-07T13:00:35Z,17804,819,34,416.0
